rd_inv,milepost,caseno,rte_nbr,county,func_cls,accyr,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
090,58.38,2006000001,090,19,01,2006,01,02,34,1,4,5,2,6,02
005,121.5,2006000002,005,27,11,2006,01,03,05,1,4,5,2,1,02
005CI16396,1.1,2006000003,005,17,11,2006,01,04,04,1,4,2,2,4,03
097,151.55,2006000004,097,04,02,2006,01,07,34,1,4,6,4,1,03
090,281.05,2006000005,090,32,11,2006,01,06,06,1,4,1,2,1,03
005,5.57,2006000006,005,06,11,2006,01,06,27,1,4,1,2,1,03
082,17.6,2006000007,082,19,01,2006,01,04,98,1,4,8,4,6,05
090,79.29,2006000008,090,19,01,2006,01,02,04,1,4,1,3,2,04
090,74.99,2006000009,090,19,01,2006,01,04,32,1,4,1,1,6,02
405,4.87,2006000010,405,17,11,2006,01,05,05,1,1,1,2,1,03
005,140.7,2006000011,005,17,11,2006,01,03,06,0,4,1,2,4,03
900,8.87,2006000012,900,17,14,2006,01,04,02,1,1,1,2,4,02
005,128.82,2006000013,005,27,11,2006,01,06,06,1,4,1,2,4,03
101,364.15,2006000014,101,34,12,2006,01,04,04,1,4,1,2,4,03
005,45.69,2006000015,005,08,01,2006,01,03,06,6,4,1,2,1,03
005,21.35,2006000016,005,08,01,2006,01,04,33,7,4,1,1,4,01
090,66.65,2006000017,090,19,01,2006,01,06,06,1,4,2,2,6,02
005,198.6,2006000018,005,31,11,2006,01,02,06,6,4,2,1,6,02
005,57.96,2006000019,005,21,01,2006,01,09,33,1,4,5,2,6,03
020,204.54,2006000020,020,24,06,2006,01,03,98,1,4,1,1,1,01
005,179.55,2006000021,005,31,11,2006,01,04,06,1,4,1,1,2,01
005,115.57,2006000022,005,27,01,2006,01,10,05,1,4,1,2,9,03
005,172.62,2006000023,005,17,11,2006,01,05,27,1,4,1,2,1,03
005,164.35,2006000024,005,17,11,2006,01,06,06,7,4,1,2,1,02
020,45.78,2006000025,020,29,02,2006,01,05,54,1,4,2,2,4,03
005,161.6,2006000026,005,17,11,2006,01,10,16,7,1,4,2,4,03
395,198.51,2006000027,395,33,02,2006,01,05,50,6,4,2,1,1,01
005,194.38,2006000028,005,31,11,2006,01,01,05,1,1,1,2,4,03
002,73.2,2006000029,002,04,02,2006,01,10,34,1,4,5,3,1,03
002,89.08,2006000030,002,04,02,2006,01,09,03,7,4,6,3,6,04
024,38.43,2006000031,024,03,06,2006,01,03,13,7,1,1,2,1,05
005,5.95,2006000032,005,06,11,2006,01,03,06,7,4,1,2,1,03
005P107067,0.34,2006000033,005,21,11,2006,01,10,06,1,1,1,2,3,03
508,0.25,2006000034,508,21,16,2006,01,02,33,1,1,1,2,3,03
005,142.69,2006000035,005,17,11,2006,01,09,50,1,4,1,2,6,03
005,153.03,2006000036,005,17,11,2006,01,05,06,7,4,2,2,4,03
395,189.92,2006000037,395,33,02,2006,01,09,98,1,4,1,3,1,04
005,192.02,2006000038,005,31,11,2006,01,05,06,5,5,1,1,6,02
005,133.3,2006000039,005,27,11,2006,01,10,05,7,4,2,2,4,03
005,133.31,2006000040,005,27,11,2006,01,10,02,1,4,6,2,4,03
005,118.66,2006000041,005,27,11,2006,01,09,05,1,4,2,2,1,02
302,15.79,2006000042,302,27,14,2006,01,13,02,1,3,2,2,2,03
005,115.15,2006000043,005,27,01,2006,01,11,06,1,4,1,2,1,03
005,107.27,2006000045,005,34,11,2006,01,12,05,1,4,2,2,4,03
082,109.29,2006000046,082,03,01,2006,01,10,33,1,4,2,1,1,07
090,48.62,2006000047,090,17,01,2006,01,12,06,1,4,4,3,6,04
395,23.87,2006000048,395,03,14,2006,01,16,06,1,1,1,2,1,03
009,55.23,2006000049,009,29,16,2006,01,03,33,4,4,1,1,1,02
097,37.44,2006000050,097,39,02,2006,01,03,01,2,8,1,4,6,01
002,20.16,2006000051,002,31,02,2006,01,02,01,2,4,6,2,1,03
090LX19691,0,2006000052,090,01,01,2006,01,12,33,1,1,1,1,1,01
167LX02131,0.03,2006000053,167,17,12,2006,01,12,07,7,1,1,2,4,03
405Q100249,0.55,2006000054,405,17,11,2006,01,18,05,6,1,1,1,4,01
161,3.02,2006000055,161,27,06,2006,01,05,71,5,1,1,1,2,02
002,47,2006000056,002,17,02,2006,01,10,34,5,4,1,2,6,03
009,15.5,2006000057,009,31,12,2006,01,13,16,1,4,1,2,4,03
543,1.06,2006000058,543,37,02,2006,01,05,05,1,4,1,2,5,03
164,10.59,2006000059,164,17,06,2006,01,13,60,1,7,1,2,1,02
395,213.99,2006000060,395,33,02,2006,01,04,50,7,4,2,3,6,02
005,175.29,2006000061,005,17,11,2006,01,19,05,1,4,5,1,4,02
090,50.12,2006000062,090,17,01,2006,01,03,02,1,4,2,3,1,04
101COABERDN,3.99,2006000063,101,14,14,2006,01,20,04,1,1,1,2,1,03
090,273.04,2006000064,090,32,11,2006,01,09,04,1,4,1,3,1,01
005,134.86,2006000065,005,27,11,2006,01,06,03,7,4,1,2,4,03
405,5.42,2006000066,405,17,11,2006,01,10,13,1,4,1,7,4,03
101,84.51,2006000067,101,14,14,2006,01,13,06,5,1,1,2,4,03
169,25.14,2006000068,169,17,14,2006,01,16,06,1,2,1,2,1,03
005,133.74,2006000069,005,27,11,2006,01,10,05,6,4,5,2,1,03
162,0.83,2006000070,162,27,16,2006,01,20,06,1,1,1,2,1,03
005,134.84,2006000071,005,27,11,2006,01,06,16,7,4,1,2,4,03
005,132.63,2006000072,005,27,11,2006,01,16,98,1,4,6,2,1,02
099,43.58,2006000073,099,31,14,2006,01,18,13,7,4,1,2,2,03
405,4.37,2006000074,405,17,11,2006,01,06,05,1,1,6,2,2,01
002,93.48,2006000075,002,04,02,2006,01,16,04,6,4,5,4,1,04
240,32.99,2006000076,240,03,12,2006,01,11,33,1,1,1,1,4,01
128,1.87,2006000078,128,38,07,2006,01,13,13,1,8,5,2,1,03
097,67.68,2006000079,097,39,06,2006,01,20,06,6,5,1,1,4,01
082,50.77,2006000080,082,39,01,2006,01,04,06,7,4,1,4,6,05
221,0,2006000081,221,03,06,2006,01,11,11,1,1,1,1,1,01
005,0.05,2006000082,005,06,11,2006,01,09,06,1,4,1,2,1,03
005,16.9,2006000083,005,06,01,2006,01,17,04,1,4,1,1,1,02
005,11.15,2006000084,005,06,11,2006,01,06,04,1,4,1,2,6,03
014,3.59,2006000085,014,06,12,2006,01,07,05,1,4,1,2,1,03
090,54.34,2006000086,090,19,01,2006,01,16,13,1,4,1,3,1,04
090,58.23,2006000087,090,19,01,2006,01,12,98,1,4,5,3,6,02
090,61.63,2006000088,090,19,01,2006,01,10,02,1,4,1,3,6,04
090,55.11,2006000089,090,19,01,2006,01,12,12,1,4,5,4,9,04
090,60.53,2006000090,090,19,01,2006,01,16,04,1,4,1,3,1,04
