curv_inv,dir_curv,begmp,deg_curv
002,L,0.16,43.74
002,R,0.2,17.74
002,L,0.32,0.93
002,R,1.84,0.6
002,R,2.37,3.82
002,L,2.82,3
002,L,3.33,2
002,R,3.77,0.97
002,L,4.16,1.45
002,L,4.8,2.16
002,R,5.31,0.96
002,R,6.57,2.25
002,L,8.19,2.66
002,R,8.94,1.91
002,L,9.36,2.86
002,R,9.58,1
002,R,10.5,2
002,L,12.47,1.73
002,L,14.41,1
002,L,15.51,1.25
002,R,16.11,2
002,L,18.03,2
002,R,18.32,4
002,R,18.84,2
002,L,20.08,3
002,L,20.56,1
002,R,22.32,3
002,L,22.67,2
002,L,22.96,1
002,R,23.35,2
002,R,24.85,2
002,L,25.48,2
002,R,26.29,3
002,L,26.51,3
002,R,26.88,3.5
002,L,27.69,0.5
002,R,27.95,0.88
002,R,28,0.88
002,L,28.55,0.5
002,R,28.59,0.5
002,L,29.41,1
002,L,30.91,2
002,R,32.13,4
002,R,32.55,6
002,L,32.79,5
002,L,33.53,4.5
002,L,33.83,2
002,R,34.05,4
002,L,34.27,8
002,R,34.5,6
002,L,34.93,4
002,L,35.2,8
002,R,35.44,4.77
002,R,35.63,7.16
002,L,35.84,7.42
002,R,36.04,4
002,L,36.18,3.37
002,L,36.42,4
002,R,36.59,6
002,L,36.69,4.88
002,R,37.05,6
002,R,37.31,4
002,R,37.81,1
002,L,38.03,6
002,R,38.27,6
002,R,38.43,6
002,L,38.86,2
002,R,39.2,4
002,L,39.32,10
002,R,39.46,0.5
002,L,39.96,1.41
002,R,40.14,4
002,L,40.47,3
002,L,42.94,3.18
002,R,43.19,3.18
002,L,43.8,6
002,R,44.01,3
002,L,44.35,5
002,R,45.09,1
002,L,45.24,1
002,L,45.39,1
002,L,45.71,3
002,R,45.98,4
002,L,46.2,4
002,R,46.5,3
002,L,47.05,3
002,R,47.58,2
002,L,47.94,2
002,L,48.33,4
002,R,48.83,4
002,L,49.04,3
002,R,49.44,4
002,R,50.91,2
002,L,51.41,2
002,L,52.1,2
002,R,52.59,3
002,R,52.98,4.41
002,L,53.16,4
002,L,53.76,0.44
002,R,53.89,0.44
002,R,54.05,0.44
002,L,54.51,2.79
002,R,54.7,3.18
002,R,55.05,1.91
002,L,55.26,1.91
002,R,55.39,0.31
002,L,55.61,0.45
002,R,55.84,2.76
002,L,56.03,3.16
002,R,56.21,3.82
002,L,56.48,1.98
002,L,56.69,2.01
002,R,56.71,0.45
002,L,57.04,1.91
002,R,57.17,2.86
002,L,57.45,0.39
002,R,57.62,3.58
002,R,58,0.29
002,R,58.38,3.37
002,L,59.07,0.38
002,R,59.19,0.38
002,L,59.46,1.25
002,R,59.84,4.77
002,L,60.22,9.35
002,L,60.41,9.35
002,R,60.76,4.09
002,L,60.91,4.09
002,R,61.05,8.49
002,R,61.22,3.58
002,R,61.42,1.91
002,R,61.71,2.86
002,R,61.92,2.86
002,R,62.14,0.5
002,L,62.32,1.01
002,L,62.52,2.94
002,R,62.64,0.75
002,L,63.01,0.5
002,R,63.09,10.05
002,R,63.2,5.62
002,R,63.25,5.97
002,R,63.33,1.01
002,L,63.42,0.5
002,L,63.83,2.94
002,R,63.96,2.6
002,L,64.51,7.25
002,R,64.77,4.04
002,L,64.93,4
002,L,65.23,2
002,L,65.59,2.25
002,L,65.86,3
002,R,66.14,1
002,R,66.53,3.5
002,R,66.72,0.5
002,R,66.86,1
002,L,67.05,0.5
002,L,67.22,0.75
002,R,67.37,1
002,R,67.57,1.5
002,R,67.96,4
002,L,68.22,4
002,L,68.56,4.09
002,R,68.87,4.09
002,R,69.15,3.57
002,L,69.77,4
002,L,70.23,4
002,R,70.6,1.5
002,R,70.78,4
002,L,71.03,4.18
002,L,71.18,0.95
002,L,71.54,5.01
002,R,71.93,6.03
002,L,72.22,1.44
002,L,72.44,1.59
002,R,72.85,5
002,L,73.05,4
002,R,73.31,5
002,L,73.47,3
002,R,74.14,6
002,L,74.38,6
002,R,74.63,2.75
002,L,75.23,1.5
002,L,75.57,6
002,R,75.82,6
002,R,76.08,3.03
002,L,76.39,6.37
002,R,76.72,5.73
002,L,77.15,6
002,R,77.38,4
002,R,77.68,4.02
002,R,78.15,2.51
002,L,78.44,4
002,R,78.71,2.5
002,L,79.59,0.5
002,R,80.04,1
002,L,81,0.5
002,L,82.16,3
002,R,82.75,2.5
002,L,83.16,0.5
002,R,84.23,4.5
002,R,84.88,1.5
002,R,85.81,0.5
002,L,86.61,3.25
002,L,86.71,3.25
002,R,86.86,4
002,R,87.25,3
002,L,87.94,1.5
002,R,88.42,1
002,L,88.62,1
002,L,88.93,3.75
002,R,89.46,1.5
002,R,89.85,4.5
002,R,90.71,6
002,L,90.82,6
002,R,90.91,4.5
002,L,91.08,2
002,R,91.17,2.5
002,L,91.25,2.5
002,L,91.39,6
002,R,91.67,3
002,R,91.93,7
002,L,92.17,6
002,R,92.57,5.5
002,L,92.81,1
002,L,93,6
002,R,93.2,5
002,R,93.4,7
002,L,93.69,5
002,R,93.9,2
