rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
005,160.05,2009000001,2009,005,17,11,01,01,71,2,4,2,2,6,03
221,12.38,2009000002,2009,221,03,06,01,06,99,4,4,1,1,1,01
097AR,24.74,2009000003,2009,097,04,06,01,07,33,2,4,6,2,6,03
005,163.57,2009000004,2009,005,17,11,01,03,71,2,4,2,2,4,01
395,185.25,2009000005,2009,395,32,02,01,03,13,4,1,2,4,1,02
509,30.14,2009000006,2009,509,17,12,01,05,33,2,5,6,1,4,02
009,58.18,2009000007,2009,009,29,16,01,16,60,2,8,7,2,6,05
523,0.75,2009000008,2009,523,17,14,01,01,17,1,1,1,2,2,03
012,329.13,2009000009,2009,012,36,02,01,02,33,1,1,5,3,1,04
090,292.71,2009000010,2009,090,32,11,01,01,33,1,4,5,3,6,04
240,10.98,2009000011,2009,240,03,06,01,02,50,6,4,1,3,1,02
504,0.6,2009000012,2009,504,08,06,01,01,34,7,8,2,8,6,03
090,293.37,2009000013,2009,090,32,11,01,01,34,1,4,1,4,4,04
005,95.43,2009000014,2009,005,34,01,01,01,33,6,4,2,2,4,09
546,0.2,2009000015,2009,546,37,02,01,01,61,1,4,1,3,1,04
002,34.38,2009000016,2009,002,31,02,01,01,34,6,4,5,4,1,02
090,242.05,2009000017,2009,090,22,01,01,01,50,6,4,4,3,1,01
205P503265,0.23,2009000018,2009,205,06,11,01,01,60,1,4,6,2,4,03
395,74.56,2009000019,2009,395,01,02,01,01,50,6,4,1,3,1,06
240,32.99,2009000020,2009,240,03,12,01,01,12,7,1,3,2,4,03
005,37.37,2009000021,2009,005,08,11,01,01,33,1,4,5,2,2,03
005,179.59,2009000022,2009,005,31,11,01,01,34,7,4,6,2,6,03
530,22.81,2009000023,2009,530,31,06,01,01,02,1,4,1,3,6,04
240,35.17,2009000024,2009,240,03,12,01,02,33,1,4,1,3,1,03
002S101437,0.1,2009000025,2009,002,31,14,01,02,01,1,4,6,2,6,03
004,49.49,2009000026,2009,004,08,02,01,02,50,1,4,5,4,6,01
504,3.59,2009000027,2009,504,08,06,01,02,33,1,5,2,4,4,01
090,285.69,2009000028,2009,090,32,11,01,02,33,1,4,2,4,1,01
090,275.41,2009000029,2009,090,32,11,01,02,33,7,4,2,4,1,01
090,282.46,2009000030,2009,090,32,11,01,02,33,1,4,2,4,1,01
090,288.78,2009000031,2009,090,32,11,01,02,16,1,4,1,2,1,02
005,237.53,2009000032,2009,005,29,01,01,01,50,1,4,2,3,4,04
097,49.21,2009000033,2009,097,39,02,01,16,33,3,4,5,1,6,02
003,10.76,2009000034,2009,003,23,02,01,21,12,2,1,5,1,4,05
017,65.55,2009000037,2009,017,13,06,01,20,01,2,4,5,1,6,02
509,2.94,2009000038,2009,509,27,12,01,25,33,4,5,6,2,4,03
221,24.83,2009000039,2009,221,03,06,01,22,33,2,4,6,1,1,02
014,13.21,2009000040,2009,014,06,12,01,25,01,2,4,1,3,6,04
002,278.82,2009000041,2009,002,32,14,01,22,71,4,3,2,1,1,01
005S115326,0.49,2009000042,2009,005,17,11,02,11,06,2,4,2,1,3,01
025,26.2,2009000043,2009,025,33,06,02,01,33,2,4,2,1,6,01
099,45.47,2009000044,2009,099,31,14,01,31,71,2,4,2,1,6,02
101,31.3,2009000045,2009,101,25,02,02,09,60,2,4,6,3,1,02
012,290.76,2009000046,2009,012,11,12,01,01,50,6,5,5,1,6,01
522,1.6,2009000047,2009,522,17,14,01,03,06,4,1,2,1,3,01
101,335.79,2009000048,2009,101,23,02,02,12,71,4,4,1,2,4,02
182LX01376,0.14,2009000049,2009,182,11,11,01,13,13,1,1,1,1,1,01
395,25.86,2009000050,2009,395,11,12,01,05,04,1,1,6,4,2,02
014,179.83,2009000051,2009,014,03,06,01,13,06,6,2,1,1,6,01
167,5.96,2009000052,2009,167,27,14,01,06,02,1,1,1,2,4,03
028,35.93,2009000053,2009,028,13,06,01,02,02,6,1,1,3,1,01
017,37,2009000054,2009,017,13,02,01,05,54,1,5,1,3,6,02
002,78.08,2009000055,2009,002,04,02,01,05,11,6,4,2,3,1,08
821,4.19,2009000056,2009,821,39,07,01,07,34,1,4,5,2,6,01
243,13.94,2009000057,2009,243,13,06,01,14,16,7,1,1,1,1,02
028,39.65,2009000058,2009,028,13,06,01,06,02,1,3,1,2,1,02
005R109958,0.33,2009000059,2009,005,34,11,01,14,06,1,1,1,1,1,02
082,33.94,2009000060,2009,082,39,11,01,05,14,1,4,1,3,4,02
539,0.02,2009000061,2009,539,37,14,01,10,33,1,4,1,2,1,03
