begmp,endmp,lshldwid,lshl_typ,medwid,med_type,no_lanes,road_inv,rshldwid,rshl_typ,seg_lng,lanewid,surf_typ,aadt,spd_limt
0,0.04,0,,0,,1,002,0,,0.04,40,,9545,30
0.04,0.11,0,,0,,2,002,0,,0.07,20,,9545,30
0.11,0.13,0,,0,,2,002,0,,0.02,20,,12342,30
0.13,0.14,0,C,750,O,4,002,0,C,0.01,27,A,23679,55
0.14,0.16,0,C,750,O,4,002,0,C,0.02,23,A,23679,55
0.16,0.17,4,A,350,O,4,002,20,A,0.01,13,A,23679,55
0.17,0.19,4,A,350,O,4,002,20,A,0.02,13,A,23679,55
0.19,0.21,4,A,350,O,4,002,20,A,0.02,13,A,20619,55
0.21,0.22,4,A,350,O,4,002,20,A,0.01,13,A,20619,55
0.22,0.23,4,A,350,O,4,002,20,A,0.01,13,A,20619,55
0.23,0.27,4,A,350,O,3,002,20,A,0.04,13,A,20619,55
0.27,0.31,4,A,350,O,3,002,20,A,0.04,13,A,20619,55
0.31,0.32,4,A,350,O,3,002,20,A,0.01,15,A,20619,55
0.32,0.35,4,A,350,O,3,002,20,A,0.03,15,A,20619,55
0.35,0.36,0,W,350,O,5,002,0,W,0.01,16,P,71855,55
0.36,0.39,0,W,350,O,5,002,0,W,0.03,16,P,71855,55
0.39,0.44,0,W,350,O,5,002,0,W,0.05,16,P,71855,55
0.44,0.49,0,W,350,O,5,002,0,W,0.05,16,P,71855,55
0.49,0.56,0,W,350,O,5,002,0,W,0.07,16,P,71855,55
0.56,0.59,0,W,350,O,4,002,0,W,0.03,17,P,71855,55
0.59,0.68,0,W,350,O,4,002,0,W,0.09,17,P,71855,55
0.68,0.87,0,W,50,O,4,002,0,W,0.19,17,P,71855,55
0.87,0.9,0,W,50,O,4,002,0,W,0.03,17,P,71855,55
0.9,1.01,0,W,50,O,4,002,0,W,0.11,17,P,71855,55
1.01,1.1,0,W,50,O,4,002,0,W,0.09,17,P,71855,55
1.1,1.21,0,W,50,O,4,002,0,W,0.11,17,P,71855,55
1.21,1.27,0,W,50,O,4,002,0,W,0.06,17,P,71855,55
1.27,1.36,0,W,50,O,4,002,0,W,0.09,17,P,71855,55
1.36,1.82,0,W,50,O,4,002,0,W,0.46,17,P,71855,55
1.82,2.16,0,W,50,O,4,002,0,W,0.34,17,P,71855,55
2.16,2.22,0,W,50,O,4,002,0,W,0.06,17,P,70187,55
2.22,2.34,0,W,50,O,4,002,0,W,0.12,24,P,70187,55
2.34,2.35,0,W,50,O,4,002,0,W,0.01,24,P,26748,55
2.35,2.43,0,W,50,O,4,002,0,W,0.08,17,P,26748,55
2.43,2.44,0,W,50,O,4,002,0,W,0.01,17,P,26748,55
2.44,2.45,0,W,50,O,3,002,0,W,0.01,23,P,26748,55
2.45,2.47,0,W,50,O,3,002,0,W,0.02,23,P,26748,55
2.47,2.54,0,W,75,O,3,002,0,W,0.07,23,P,26748,55
2.54,2.57,0,W,75,O,3,002,0,W,0.03,23,P,26748,55
2.57,2.58,0,W,100,O,3,002,0,W,0.01,23,P,26748,55
2.58,2.61,0,W,100,S,3,002,0,W,0.03,17,P,26748,55
2.61,2.64,0,W,138,S,3,002,0,W,0.03,17,P,26748,55
2.64,2.75,4,A,138,S,3,002,10,A,0.11,13,A,26748,55
2.75,2.77,4,A,138,S,3,002,10,A,0.02,13,A,26748,55
2.77,2.84,4,A,138,S,4,002,10,A,0.07,12,A,26748,55
2.84,2.88,4,A,138,S,4,002,10,A,0.04,12,A,26748,55
2.88,2.89,4,A,138,S,4,002,10,A,0.01,12,A,30066,60
2.89,2.9,10,A,134,S,4,002,10,A,0.01,12,A,30066,60
2.9,3,10,A,134,S,4,002,10,A,0.1,12,A,30066,60
3,3.55,10,A,134,S,4,002,10,A,0.55,12,A,30066,60
3.55,3.62,4,A,90,S,4,002,10,A,0.07,12,A,30066,60
3.62,3.67,4,A,90,S,4,002,10,A,0.05,12,A,30066,60
3.67,3.79,4,A,90,S,4,002,10,A,0.12,12,A,25972,60
3.79,3.96,4,A,90,S,4,002,8,A,0.17,12,A,25972,60
3.96,3.98,8,A,0,,3,002,8,A,0.02,12,A,25972,60
3.98,3.99,8,A,0,,3,002,8,A,0.01,12,A,25972,60
3.99,4.5,8,A,0,,3,002,8,A,0.51,12,A,23040,60
4.5,4.53,0,W,0,,3,002,0,W,0.03,17,P,23040,60
4.53,4.8,8,A,0,,3,002,8,A,0.27,12,A,23040,60
4.8,4.88,6,A,0,,4,002,6,A,0.08,12,A,23040,60
4.88,4.93,6,A,0,,4,002,6,A,0.05,12,A,23040,60
4.93,5.1,6,A,0,,4,002,6,A,0.17,12,A,15303,60
5.1,5.13,6,A,0,,4,002,6,A,0.03,12,A,15303,60
5.13,5.15,6,A,0,,4,002,6,A,0.02,12,A,15303,60
5.15,5.17,6,A,0,,3,002,8,A,0.02,12,A,15303,60
5.17,5.27,6,A,0,,3,002,8,A,0.1,12,A,15303,60
5.27,5.41,6,A,0,,3,002,8,A,0.14,12,A,15303,60
5.41,5.48,6,A,0,,3,002,8,A,0.07,12,A,15303,60
5.48,5.97,6,A,0,,3,002,8,A,0.49,12,A,21075,60
5.97,6.5,8,A,0,,2,002,8,A,0.53,12,A,21075,60
6.5,6.58,0,W,0,,2,002,0,W,0.08,19,A,21075,60
6.58,6.66,0,W,0,,2,002,0,W,0.08,19,A,21075,60
6.66,6.81,8,A,0,,2,002,8,A,0.15,12,A,21075,60
6.81,7.95,8,A,0,,2,002,8,A,1.14,12,A,21075,60
7.95,8.03,8,A,0,,2,002,8,A,0.08,12,A,21075,60
8.03,8.09,8,A,0,,2,002,8,A,0.06,12,A,21075,60
8.09,8.24,8,A,0,,2,002,8,A,0.15,12,A,21075,60
8.24,8.31,8,A,0,,2,002,8,A,0.07,12,A,21075,60
8.31,8.65,8,A,0,,2,002,8,A,0.34,12,A,18222,60
8.65,8.92,8,A,0,,2,002,8,A,0.27,12,A,18222,60
8.92,8.93,8,A,0,,2,002,8,A,0.01,12,A,18222,60
8.93,9.15,8,A,0,,2,002,8,A,0.22,12,A,27040,60
9.15,9.42,8,A,0,,2,002,8,A,0.27,12,A,27040,60
9.42,10.08,8,A,0,,2,002,8,A,0.66,12,A,27040,60
10.08,10.09,8,A,0,,2,002,8,A,0.01,12,A,27040,60
10.09,10.16,8,A,0,,2,002,8,A,0.07,12,A,27040,60
10.16,10.43,8,A,0,,2,002,8,A,0.27,12,A,24488,60
10.43,10.47,8,A,0,,2,002,8,A,0.04,12,A,24488,60
10.47,10.53,8,A,0,,2,002,8,A,0.06,12,A,24488,60
10.53,10.6,8,A,0,,2,002,8,A,0.07,12,A,24488,60
10.6,10.63,8,A,0,,2,002,8,A,0.03,12,A,24488,60
10.63,10.65,8,A,0,,2,002,8,A,0.02,12,A,23108,60
10.65,11.49,8,A,0,,2,002,8,A,0.84,12,A,23108,60
