lshl_typ,med_type,rshl_typ,surf_typ,road_inv,spd_limt,begmp,endmp,lshldwid,medwid,no_lanes,rshldwid,seg_lng,lanewid,aadt
,,,,002,30,0,0.04,0,0,1,0,0.04,40,6482
,,,,002,30,0.04,0.11,0,0,2,0,0.07,20,6482
,,,,002,30,0.11,0.13,0,0,2,0,0.02,20,9036
C,O,C,A,002,55,0.13,0.14,0,750,4,0,0.01,27,22821
C,O,C,A,002,55,0.14,0.16,0,750,4,0,0.02,23,22821
A,O,A,A,002,55,0.16,0.17,4,350,4,20,0.01,13,22821
A,O,A,A,002,55,0.17,0.19,4,350,4,20,0.02,13,22821
A,O,A,A,002,55,0.19,0.21,4,350,4,20,0.02,13,20775
A,O,A,A,002,55,0.21,0.22,4,350,4,20,0.01,13,20775
A,O,A,A,002,55,0.22,0.23,4,350,4,20,0.01,13,20775
A,O,A,A,002,55,0.23,0.27,4,350,3,20,0.04,13,20775
A,O,A,A,002,55,0.27,0.31,4,350,3,20,0.04,13,20775
A,O,A,A,002,55,0.31,0.32,4,350,3,20,0.01,15,20775
A,O,A,A,002,55,0.32,0.35,4,350,3,20,0.03,15,20775
W,O,W,P,002,55,0.35,0.36,0,350,5,0,0.01,16,
W,O,W,P,002,55,0.36,0.39,0,350,5,0,0.03,16,73167
W,O,W,P,002,55,0.39,0.44,0,350,5,0,0.05,16,73167
W,O,W,P,002,55,0.44,0.49,0,350,5,0,0.05,16,73167
W,O,W,P,002,55,0.49,0.56,0,350,5,0,0.07,16,73167
W,O,W,P,002,55,0.56,0.59,0,350,4,0,0.03,17,73167
W,O,W,P,002,55,0.59,0.68,0,350,4,0,0.09,17,73167
W,O,W,P,002,55,0.68,0.87,0,50,4,0,0.19,17,73167
W,O,W,P,002,55,0.87,0.9,0,50,4,0,0.03,17,73167
W,O,W,P,002,55,0.9,1.01,0,50,4,0,0.11,17,73167
W,O,W,P,002,55,1.01,1.1,0,50,4,0,0.09,17,73167
W,O,W,P,002,55,1.1,1.21,0,50,4,0,0.11,17,71486
W,O,W,P,002,55,1.21,1.27,0,50,4,0,0.06,17,71486
W,O,W,P,002,55,1.27,1.36,0,50,4,0,0.09,17,71486
W,O,W,P,002,55,1.36,1.82,0,50,4,0,0.46,17,71486
W,O,W,P,002,55,1.82,2.16,0,50,4,0,0.34,17,71486
W,O,W,P,002,55,2.16,2.22,0,50,4,0,0.06,17,71651
W,O,W,P,002,55,2.22,2.34,0,50,4,0,0.12,24,71651
W,O,W,P,002,55,2.34,2.35,0,50,4,0,0.01,24,27964
W,O,W,P,002,55,2.35,2.43,0,50,4,0,0.08,17,27964
W,O,W,P,002,55,2.43,2.44,0,50,4,0,0.01,17,27964
W,O,W,P,002,55,2.44,2.45,0,50,3,0,0.01,23,27964
W,O,W,P,002,55,2.45,2.47,0,50,3,0,0.02,23,27964
W,O,W,P,002,55,2.47,2.54,0,75,3,0,0.07,23,27964
W,O,W,P,002,55,2.54,2.57,0,75,3,0,0.03,23,27964
W,O,W,P,002,55,2.57,2.58,0,100,3,0,0.01,23,27964
W,S,W,P,002,55,2.58,2.61,0,100,3,0,0.03,17,27964
W,S,W,P,002,55,2.61,2.64,0,138,3,0,0.03,17,27964
A,S,A,A,002,55,2.64,2.75,4,138,3,10,0.11,13,27964
A,S,A,A,002,55,2.75,2.77,4,138,3,10,0.02,13,27964
A,S,A,A,002,55,2.77,2.84,4,138,4,10,0.07,12,27964
A,S,A,A,002,55,2.84,2.88,4,138,4,10,0.04,12,27964
A,S,A,A,002,60,2.88,2.89,4,138,4,10,0.01,12,31154
A,S,A,A,002,60,2.89,2.9,10,134,4,10,0.01,12,31154
A,S,A,A,002,60,2.9,3,10,134,4,10,0.1,12,31154
A,S,A,A,002,60,3,3.55,10,134,4,10,0.55,12,31154
A,S,A,A,002,60,3.55,3.62,4,90,4,10,0.07,12,
A,S,A,A,002,60,3.62,3.67,4,90,4,10,0.05,12,31154
A,S,A,A,002,60,3.67,3.79,4,90,4,10,0.12,12,26184
A,S,A,A,002,60,3.79,3.96,4,90,4,8,0.17,12,26184
A,,A,A,002,60,3.96,3.98,8,0,3,8,0.02,12,26184
A,,A,A,002,60,3.98,3.99,8,0,3,8,0.01,12,26184
A,,A,A,002,60,3.99,4.5,8,0,3,8,0.51,12,24184
W,,W,P,002,60,4.5,4.53,0,0,3,0,0.03,17,24184
A,,A,A,002,60,4.53,4.8,8,0,3,8,0.27,12,24184
A,,A,A,002,60,4.8,4.88,6,0,4,6,0.08,12,24184
A,,A,A,002,60,4.88,4.93,6,0,4,6,0.05,12,24184
A,,A,A,002,60,4.93,5.1,6,0,4,6,0.17,12,15639
A,,A,A,002,60,5.1,5.13,6,0,4,6,0.03,12,
A,,A,A,002,60,5.13,5.15,6,0,4,6,0.02,12,15639
A,,A,A,002,60,5.15,5.17,6,0,3,8,0.02,12,15639
A,,A,A,002,60,5.17,5.27,6,0,3,8,0.1,12,15639
A,,A,A,002,60,5.27,5.41,6,0,3,8,0.14,12,
A,,A,A,002,60,5.41,5.48,6,0,3,8,0.07,12,15639
A,,A,A,002,60,5.48,5.97,6,0,3,8,0.49,12,20828
A,,A,A,002,60,5.97,6.5,8,0,2,8,0.53,12,20828
W,,W,A,002,60,6.5,6.58,0,0,2,0,0.08,19,20828
W,,W,A,002,60,6.58,6.66,0,0,2,0,0.08,19,20828
A,,A,A,002,60,6.66,6.81,8,0,2,8,0.15,12,20828
A,,A,A,002,60,6.81,7.95,8,0,2,8,1.14,12,
A,,A,A,002,60,7.95,8.03,8,0,2,8,0.08,12,20828
A,,A,A,002,60,8.03,8.09,8,0,2,8,0.06,12,20828
A,,A,A,002,60,8.09,8.24,8,0,2,8,0.15,12,20828
A,,A,A,002,60,8.24,8.31,8,0,2,8,0.07,12,20828
A,,A,A,002,60,8.31,8.65,8,0,2,8,0.34,12,17433
A,,A,A,002,60,8.65,8.92,8,0,2,8,0.27,12,17433
A,,A,A,002,60,8.92,8.93,8,0,2,8,0.01,12,17433
A,,A,A,002,60,8.93,9.15,8,0,2,8,0.22,12,25435
A,,A,A,002,60,9.15,9.42,8,0,2,8,0.27,12,25435
A,,A,A,002,60,9.42,10.08,8,0,2,8,0.66,12,25435
A,,A,A,002,60,10.08,10.09,8,0,2,8,0.01,12,25435
A,,A,A,002,60,10.09,10.16,8,0,2,8,0.07,12,25435
A,,A,A,002,60,10.16,10.43,8,0,2,8,0.27,12,23967
A,,A,A,002,60,10.43,10.47,8,0,2,8,0.04,12,23967
A,,A,A,002,60,10.47,10.53,8,0,2,8,0.06,12,23967
A,,A,A,002,60,10.53,10.6,8,0,2,8,0.07,12,23967
A,,A,A,002,60,10.6,10.63,8,0,2,8,0.03,12,23967
A,,A,A,002,60,10.63,10.65,8,0,2,8,0.02,12,22618
A,,A,A,002,60,10.65,11.49,8,0,2,8,0.84,12,22618
C,,C,A,002,60,11.49,11.5,0,0,2,0,0.01,19,22618
C,,C,A,002,60,11.5,11.51,0,0,2,0,0.01,19,22618
A,,A,A,002,60,11.51,11.76,8,0,2,8,0.25,12,22618
C,,C,A,002,60,11.76,11.78,0,0,2,0,0.02,19,22618
A,,A,A,002,55,11.78,12.78,8,0,2,8,1,12,22618
A,,A,A,002,55,12.78,12.96,8,0,2,8,0.18,12,
A,,A,A,002,55,12.96,13.03,8,0,2,8,0.07,12,22618
A,,A,A,002,55,13.03,13.05,8,0,2,8,0.02,12,
A,,A,A,002,55,13.05,13.32,8,0,2,8,0.27,12,21556
A,,A,A,002,55,13.32,13.55,8,0,2,8,0.23,12,21556
A,,A,A,002,45,13.55,13.67,8,0,2,7,0.12,12,21556
A,,A,A,002,45,13.67,13.69,8,0,2,7,0.02,12,21556
A,,A,A,002,45,13.69,13.87,8,0,2,7,0.18,12,21556
A,,A,A,002,45,13.87,13.94,8,0,3,7,0.07,12,
A,,A,A,002,45,13.94,13.95,8,0,3,7,0.01,12,21916
A,,A,A,002,45,13.95,13.97,9,0,3,7,0.02,12,
A,,A,A,002,45,13.97,14.21,9,0,3,7,0.24,12,25518
A,,A,A,002,45,14.21,14.35,9,0,3,7,0.14,12,25690
A,,A,A,002,45,14.35,14.36,10,0,3,6,0.01,12,25690
A,,A,A,002,45,14.36,14.45,10,0,3,6,0.09,12,25690
A,,A,A,002,45,14.45,14.46,8,0,3,6,0.01,12,
A,,A,A,002,45,14.46,14.52,8,0,3,6,0.06,12,36942
C,,C,A,002,45,14.52,14.6,0,0,4,0,0.08,14,36942
C,,C,A,002,35,14.6,14.65,0,0,4,0,0.05,14,36942
C,,C,A,002,35,14.65,14.68,0,0,4,0,0.03,14,31033
C,,C,A,002,35,14.68,14.72,0,0,4,0,0.04,14,31033
C,,C,A,002,35,14.72,14.84,0,0,4,0,0.12,14,31033
C,,C,A,002,35,14.84,14.87,0,0,4,0,0.03,14,31033
C,,C,A,002,35,14.87,14.9,0,0,4,0,0.03,14,
C,,C,A,002,35,14.9,14.95,0,0,4,0,0.05,14,31033
C,,C,A,002,35,14.95,15,0,0,4,0,0.05,14,
C,,C,A,002,35,15,15.01,0,0,4,0,0.01,14,28125
C,,C,A,002,35,15.01,15.05,0,0,4,0,0.04,14,28125
C,,C,A,002,35,15.05,15.08,0,0,4,0,0.03,14,28125
C,,C,A,002,35,15.08,15.11,0,0,4,0,0.03,14,28125
C,,C,A,002,35,15.11,15.18,0,0,4,0,0.07,14,28125
C,,C,A,002,35,15.18,15.23,0,0,4,0,0.05,14,28125
C,,C,A,002,35,15.23,15.29,0,0,4,0,0.06,14,20840
C,,C,A,002,35,15.29,15.3,0,0,4,0,0.01,14,
A,,A,A,002,35,15.3,15.32,10,0,4,10,0.02,11,20840
A,,A,A,002,35,15.32,15.35,10,0,4,10,0.03,11,19456
A,,A,A,002,35,15.35,15.38,8,0,2,8,0.03,11,19456
A,,A,A,002,55,15.38,15.45,8,0,2,8,0.07,11,19456
C,,C,A,002,55,15.45,15.48,0,0,2,0,0.03,13,
A,,A,A,002,55,15.48,15.72,8,0,2,8,0.24,11,19456
A,,A,A,002,55,15.72,15.85,8,0,2,8,0.13,11,19456
A,,A,A,002,55,15.85,16.2,8,0,2,8,0.35,11,19456
A,,A,A,002,55,16.2,16.57,8,0,2,8,0.37,11,19456
A,,A,A,002,55,16.57,17.06,8,0,2,8,0.49,11,19456
A,,A,A,002,55,17.06,17.98,8,0,2,8,0.92,11,18961
A,,A,A,002,55,17.98,18.17,8,0,2,8,0.19,11,18965
A,,A,A,002,55,18.17,18.75,8,0,2,8,0.58,11,18965
A,,A,A,002,55,18.75,20.2,8,0,2,8,1.45,11,18965
A,,A,A,002,55,20.2,21.47,8,0,2,8,1.27,11,18968
A,,A,A,002,55,21.47,21.5,8,0,2,8,0.03,11,18968
A,,A,A,002,35,21.5,21.57,8,0,2,8,0.07,11,18968
A,,A,A,002,35,21.57,21.62,8,0,2,10,0.05,11,18968
A,,A,A,002,35,21.62,21.65,8,0,2,10,0.03,11,18968
