lshl_typ,med_type,rshl_typ,surf_typ,road_inv,spd_limt,begmp,endmp,lanewid,no_lanes,lshldwid,rshldwid,medwid,seg_lng,aadt
,,,,002,,0,0.04,40,1,0,0,0,0.04,6447
,,,,002,55,0.04,0.11,20,2,0,0,0,0.07,6447
,,,,002,55,0.11,0.13,20,2,0,0,0,0.02,8987
C,O,C,A,002,55,0.13,0.14,27,4,0,0,750,0.01,22698
C,O,C,A,002,55,0.14,0.16,23,4,0,0,750,0.02,22698
A,O,C,A,002,55,0.16,0.17,13,4,4,0,350,0.01,22698
A,O,C,A,002,55,0.17,0.19,13,4,4,0,350,0.02,22698
A,O,A,A,002,55,0.19,0.21,12,4,4,10,350,0.02,20663
A,O,A,A,002,55,0.21,0.22,12,4,4,10,350,0.01,20663
A,O,A,A,002,55,0.22,0.23,12,4,4,10,350,0.01,20663
A,O,A,A,002,55,0.23,0.27,16,3,4,10,350,0.04,20663
A,O,A,A,002,55,0.27,0.31,16,3,4,10,350,0.04,20663
A,O,A,A,002,55,0.31,0.32,18,3,4,10,350,0.01,20663
A,O,A,A,002,55,0.32,0.35,18,3,4,10,350,0.03,20663
W,O,W,P,002,55,0.35,0.36,16,5,0,0,350,0.01,72772
W,O,W,P,002,55,0.36,0.39,16,5,0,0,350,0.03,72772
W,O,W,P,002,55,0.39,0.44,16,5,0,0,350,0.05,72772
W,O,W,P,002,55,0.44,0.49,16,5,0,0,350,0.05,72772
W,O,W,P,002,55,0.49,0.56,16,5,0,0,350,0.07,72772
W,O,W,P,002,55,0.56,0.59,17,4,0,0,350,0.03,72772
W,O,W,P,002,55,0.59,0.68,17,4,0,0,350,0.09,72772
W,O,W,P,002,55,0.68,0.87,17,4,0,0,50,0.19,72772
W,O,W,P,002,55,0.87,0.9,17,4,0,0,50,0.03,72772
W,O,W,P,002,55,0.9,1.01,17,4,0,0,50,0.11,72772
W,O,W,P,002,55,1.01,1.1,17,4,0,0,50,0.09,72772
W,O,W,P,002,55,1.1,1.21,17,4,0,0,50,0.11,71100
W,O,W,P,002,55,1.21,1.27,17,4,0,0,50,0.06,71100
W,O,W,P,002,55,1.27,1.36,17,4,0,0,50,0.09,71100
W,O,W,P,002,55,1.36,1.82,17,4,0,0,50,0.46,71100
W,O,W,P,002,55,1.82,2.16,17,4,0,0,50,0.34,71100
W,O,W,P,002,55,2.16,2.22,17,4,0,0,50,0.06,71264
W,O,W,P,002,55,2.22,2.34,24,4,0,0,50,0.12,71264
W,O,W,P,002,55,2.34,2.35,24,4,0,0,50,0.01,27710
W,O,W,P,002,55,2.35,2.43,17,4,0,0,50,0.08,27710
W,O,W,P,002,55,2.43,2.44,17,4,0,0,50,0.01,27710
W,O,W,P,002,55,2.44,2.45,23,3,0,0,50,0.01,27710
W,O,W,P,002,55,2.45,2.47,23,3,0,0,50,0.02,27710
W,O,W,P,002,55,2.47,2.54,23,3,0,0,75,0.07,27710
W,O,W,P,002,55,2.54,2.57,23,3,0,0,75,0.03,27710
W,O,W,P,002,55,2.57,2.58,23,3,0,0,100,0.01,27710
W,S,W,P,002,55,2.58,2.61,17,3,0,0,100,0.03,27710
W,S,W,P,002,55,2.61,2.64,17,3,0,0,138,0.03,27710
A,S,A,A,002,55,2.64,2.75,13,3,4,10,138,0.11,27710
A,S,A,A,002,55,2.75,2.77,13,3,4,10,138,0.02,27710
A,S,A,A,002,55,2.77,2.84,12,4,4,10,138,0.07,27710
A,S,A,A,002,55,2.84,2.88,12,4,4,10,138,0.04,27710
A,S,A,A,002,55,2.88,2.89,12,4,4,10,138,0.01,30870
A,S,A,A,002,55,2.89,2.9,12,4,10,10,134,0.01,30870
A,S,A,A,002,55,2.9,3,12,4,10,10,134,0.1,30870
A,S,A,A,002,55,3,3.55,12,4,10,10,134,0.55,30870
A,S,A,A,002,55,3.55,3.62,12,4,4,10,90,0.07,30870
A,S,A,A,002,55,3.62,3.67,12,4,4,10,90,0.05,30870
A,S,A,A,002,55,3.67,3.79,12,4,4,10,90,0.12,25946
A,S,A,A,002,55,3.79,3.96,12,4,4,8,90,0.17,25946
A,,A,A,002,55,3.96,3.98,12,3,8,8,0,0.02,25946
A,,A,A,002,55,3.98,3.99,12,3,8,8,0,0.01,25946
A,,A,A,002,55,3.99,4.5,12,3,8,8,0,0.51,23964
W,,W,P,002,55,4.5,4.53,17,3,0,0,0,0.03,23964
A,,A,A,002,55,4.53,4.8,12,3,8,8,0,0.27,23964
A,,A,A,002,55,4.8,4.88,12,4,6,6,0,0.08,23964
A,,A,A,002,55,4.88,4.93,12,4,6,6,0,0.05,23964
A,,A,A,002,55,4.93,5.1,12,4,6,6,0,0.17,15497
A,,A,A,002,55,5.1,5.13,12,4,6,6,0,0.03,15497
A,,A,A,002,55,5.13,5.15,12,4,6,6,0,0.02,15497
A,,A,A,002,55,5.15,5.17,12,3,6,8,0,0.02,15497
A,,A,A,002,55,5.17,5.27,12,3,6,8,0,0.1,15497
A,,A,A,002,55,5.27,5.41,12,3,6,8,0,0.14,15497
A,,A,A,002,55,5.41,5.48,12,3,6,8,0,0.07,15497
A,,A,A,002,55,5.48,5.97,12,3,6,8,0,0.49,20638
A,,A,A,002,55,5.97,6.5,12,2,8,8,0,0.53,20638
W,,W,A,002,55,6.5,6.58,19,2,0,0,0,0.08,20638
W,,W,A,002,55,6.58,6.66,19,2,0,0,0,0.08,20638
A,,A,A,002,55,6.66,6.81,12,2,8,8,0,0.15,20638
A,,A,A,002,55,6.81,7.95,12,2,8,8,0,1.14,20638
A,,A,A,002,55,7.95,8.03,12,2,8,8,0,0.08,20638
A,,A,A,002,55,8.03,8.09,12,2,8,8,0,0.06,20638
A,,A,A,002,55,8.09,8.24,12,2,8,8,0,0.15,20638
A,,A,A,002,55,8.24,8.31,12,2,8,8,0,0.07,20638
A,,A,A,002,55,8.31,8.65,12,2,8,8,0,0.34,17274
A,,A,A,002,55,8.65,8.92,12,2,8,8,0,0.27,17274
A,,A,A,002,55,8.92,8.93,12,2,8,8,0,0.01,17274
A,,A,A,002,55,8.93,9.15,12,2,8,8,0,0.22,25204
A,,A,A,002,55,9.15,9.42,12,2,8,8,0,0.27,25204
A,,A,A,002,55,9.42,10.08,12,2,8,8,0,0.66,25204
A,,A,A,002,55,10.08,10.09,12,2,8,8,0,0.01,25204
A,,A,A,002,55,10.09,10.16,12,2,8,8,0,0.07,25204
A,,A,A,002,55,10.16,10.43,12,2,8,8,0,0.27,23749
A,,A,A,002,55,10.43,10.47,12,2,8,8,0,0.04,23749
A,,A,A,002,55,10.47,10.53,12,2,8,8,0,0.06,23749
A,,A,A,002,55,10.53,10.6,12,2,8,8,0,0.07,23749
A,,A,A,002,55,10.6,10.63,12,2,8,8,0,0.03,23749
A,,A,A,002,55,10.63,10.65,12,2,8,8,0,0.02,22733
A,,A,A,002,55,10.65,11.49,12,2,8,8,0,0.84,22733
C,,C,A,002,55,11.49,11.5,19,2,0,0,0,0.01,22733
C,,C,A,002,55,11.5,11.51,19,2,0,0,0,0.01,22733
A,,A,A,002,55,11.51,11.76,12,2,8,8,0,0.25,22733
C,,C,A,002,55,11.76,11.78,19,2,0,0,0,0.02,22733
A,,A,A,002,55,11.78,12.78,12,2,8,8,0,1,22733
A,,A,A,002,55,12.78,12.96,12,2,8,8,0,0.18,22733
A,,A,A,002,55,12.96,13.03,12,2,8,8,0,0.07,22733
A,,A,A,002,55,13.03,13.05,12,2,8,8,0,0.02,21717
A,,A,A,002,55,13.05,13.32,12,2,8,8,0,0.27,21717
A,,A,A,002,55,13.32,13.55,12,2,8,8,0,0.23,21717
A,,A,A,002,55,13.55,13.67,12,2,8,7,0,0.12,21717
A,,A,A,002,55,13.67,13.69,12,2,8,7,0,0.02,21717
A,,A,A,002,55,13.69,13.87,12,2,8,7,0,0.18,21717
A,,A,A,002,55,13.87,13.94,12,3,8,7,0,0.07,21717
A,,A,A,002,55,13.94,13.95,12,3,8,7,0,0.01,21717
A,,A,A,002,55,13.95,13.97,12,3,9,7,0,0.02,25286
A,,A,A,002,55,13.97,14.21,12,3,9,7,0,0.24,25286
C,,A,A,002,55,14.21,14.25,17,3,0,7,0,0.04,25456
C,,A,A,002,55,14.25,14.35,13,4,0,7,0,0.1,25456
C,,A,A,002,55,14.35,14.36,13,4,0,6,0,0.01,25456
C,,A,A,002,55,14.36,14.45,13,4,0,6,0,0.09,25456
C,,A,A,002,55,14.45,14.46,12,5,0,6,0,0.01,25456
C,,A,A,002,55,14.46,14.52,12,5,0,6,0,0.06,25456
C,,C,A,002,55,14.52,14.56,14,5,0,0,0,0.04,25456
C,,C,A,002,55,14.56,14.6,16,6,0,0,0,0.04,36606
C,,C,A,002,55,14.6,14.61,16,6,0,0,0,0.01,36606
C,,C,A,002,55,14.61,14.63,19,5,0,0,0,0.02,36606
C,,C,A,002,55,14.63,14.65,19,5,0,0,0,0.02,36606
C,,C,A,002,55,14.65,14.68,14,5,0,0,0,0.03,30751
C,,C,A,002,55,14.68,14.72,14,5,0,0,0,0.04,30751
C,,C,A,002,55,14.72,14.84,14,5,0,0,0,0.12,30751
C,,C,A,002,55,14.84,14.87,14,5,0,0,0,0.03,30751
C,,C,A,002,55,14.87,14.9,14,5,0,0,0,0.03,30751
C,,C,A,002,55,14.9,14.92,14,5,0,0,0,0.02,30751
C,,C,A,002,55,14.92,14.95,14,4,0,0,0,0.03,30751
C,,C,A,002,55,14.95,14.98,14,4,0,0,0,0.03,30751
C,,C,A,002,55,14.98,15,14,4,0,0,0,0.02,30751
C,,C,A,002,55,15,15.01,14,4,0,0,0,0.01,30751
C,,C,A,002,55,15.01,15.02,14,4,0,0,0,0.01,30751
C,,C,A,002,55,15.02,15.05,14,4,0,0,0,0.03,27869
C,,C,A,002,55,15.05,15.08,14,4,0,0,0,0.03,27869
C,,C,A,002,55,15.08,15.11,14,4,0,0,0,0.03,27869
C,,C,A,002,55,15.11,15.18,14,4,0,0,0,0.07,27869
C,,C,A,002,55,15.18,15.23,14,4,0,0,0,0.05,27869
C,,C,A,002,55,15.23,15.29,14,4,0,0,0,0.06,20650
C,,C,A,002,55,15.29,15.3,14,4,0,0,0,0.01,20650
A,,A,A,002,55,15.3,15.32,11,4,10,10,0,0.02,20650
A,,A,A,002,55,15.32,15.35,11,4,10,10,0,0.03,18993
A,,A,A,002,55,15.35,15.38,11,2,8,8,0,0.03,18993
A,,A,A,002,55,15.38,15.45,11,2,8,8,0,0.07,18993
